proveedor,algoritmo,k_o_grupos,silueta_gower,davies_bouldin,calinski_harabasz,n_grupos,pct_ruido,ari_vs_modalidad,ari_vs_cuartil_presupuesto,entropia_tamanos,cobertura,base_aleatoria,base_modalidad,descalificado,motivos_descalificacion,segundos,notas
P1,K-Means,5,0.22943879663944244,1.2272563243351926,1013.9821547061387,5,0.0,-0.035871674030555016,0.1562760796371278,0.7662510873611451,100.0,-0.016186680644750595,0.13246825337409973,False,,0.04,
P1,K-Means,6,0.25389522314071655,1.1303249048167145,1029.3224881806327,6,0.0,-0.003358822251609768,0.18301482554214346,0.8615892643683244,100.0,-0.019253533333539963,0.13246825337409973,False,,0.05,
P1,K-Means,7,0.2539483308792114,1.188755932579656,968.1857285895428,7,0.0,-0.00963391583573161,0.1821811557305349,0.8209810494274183,100.0,-0.03707246109843254,0.13246825337409973,False,,0.05,
P1,K-Means,8,0.2302372306585312,1.2236529230526052,923.5186835528607,8,0.0,-0.0054437025889221185,0.1817176724766429,0.8718379116911116,100.0,-0.021642623469233513,0.13246825337409973,False,,0.07,
P1,K-Means,9,0.23208801448345184,1.2214418906736393,872.746368114591,9,0.0,-0.0024314197717095034,0.16335017079981903,0.861402570121075,100.0,-0.02815980464220047,0.13246825337409973,False,,0.06,
P1,K-Means,10,0.23253536224365234,1.1389504945394946,852.3744593890382,10,0.0,-0.00022495944111218064,0.1698269679704446,0.8301751679525551,100.0,-0.03330785036087036,0.13246825337409973,False,,0.05,
P1,Jerárquico (average),3,0.572145402431488,0.7498941389967406,599.5318563162318,3,0.0,-0.06373072076416572,0.00026099092974185925,0.23050459412726335,100.0,-0.004609484225511551,0.13246825337409973,True,entropía de tamaños 0.231 < 0.5,0.44,
P1,Jerárquico (average),4,0.5393293499946594,0.9449371991928832,457.9880996449486,4,0.0,-0.06778599143065775,0.0002153241841781462,0.21469233860718562,100.0,-0.010797911323606968,0.13246825337409973,True,entropía de tamaños 0.215 < 0.5,0.3,
P1,Jerárquico (average),5,0.43974071741104126,1.0929328206304882,534.2082305946286,5,0.0,-0.0943417175509767,0.00010395126809222253,0.34144550769799287,100.0,-0.016186680644750595,0.13246825337409973,True,entropía de tamaños 0.341 < 0.5,0.32,
P1,Jerárquico (average),6,0.3609743118286133,1.0688955846710175,442.96502787267417,6,0.0,-0.08513017882139458,0.00014323409761619118,0.32480335846103137,100.0,-0.019253533333539963,0.13246825337409973,True,entropía de tamaños 0.325 < 0.5,0.24,
P1,Jerárquico (average),7,0.3594096601009369,1.038847354894153,378.4762725013072,7,0.0,-0.08543909452857995,0.00010367397744205379,0.30483791443146446,100.0,-0.03707246109843254,0.13246825337409973,True,entropía de tamaños 0.305 < 0.5,0.26,
P1,Jerárquico (average),8,0.35812318325042725,1.0032404309126757,326.14231350102443,8,0.0,-0.08544929746004565,0.00010348909395149053,0.28656923151185043,100.0,-0.021642623469233513,0.13246825337409973,True,entropía de tamaños 0.287 < 0.5,0.41,
P1,Jerárquico (average),9,0.3301001787185669,0.9588090571724267,286.3784105660173,9,0.0,-0.08535096654546627,0.00011059181536371189,0.2729273701163446,100.0,-0.02815980464220047,0.13246825337409973,True,entropía de tamaños 0.273 < 0.5,0.25,
