algoritmo,k,silueta_promedio,db,ch,ari_mod,ari_cuartil,entropia,cobertura,base_aleatoria,base_modalidad,n_grupos,n_proveedores,descalificado,motivos
jerarquico,9,0.380169798930486,0.9338353953357976,331.7760905976675,-0.12322536964831156,0.0002980460144751822,0.3141690502569276,100.0,-0.030099834005037945,0.10401756068070729,9.0,3,True,P1: entropía de tamaños 0.273 < 0.5 | P2: entropía de tamaños 0.314 < 0.5 | P3: entropía de tamaños 0.355 < 0.5
jerarquico,10,0.3579752246538798,0.9072253906721022,310.0670351326026,-0.1140465655034506,0.0006026474499491872,0.31414507451975987,100.0,-0.04392077152927717,0.10401756068070729,10.0,3,True,P1: entropía de tamaños 0.261 < 0.5 | P2: entropía de tamaños 0.307 < 0.5 | P3: entropía de tamaños 0.375 < 0.5
kmedoids,3,0.2769038677215576,1.6774751182017091,842.6263799811453,-0.03896506927774098,0.0036248763512030185,0.8483041551605361,100.0,-0.003998941276222467,0.10401756068070729,3.0,3,False,
kmedoids,4,0.24208094676335654,2.0527322811237814,630.3141310108164,0.10849697882855208,0.011701098608372198,0.9139506236809316,100.0,-0.01835671905428171,0.10401756068070729,4.0,3,False,
kmedoids,5,0.24963122606277466,1.944186212682525,560.7962076508096,0.19682019260137337,0.02241380692819181,0.9119161883548342,100.0,-0.026925470679998398,0.10401756068070729,5.0,3,False,
kmedoids,6,0.24983260035514832,1.7378888708408946,611.1240816562437,0.15646360879180662,0.05888055708300444,0.9187759723158703,100.0,-0.02240292790035407,0.10401756068070729,6.0,3,False,
kmedoids,7,0.25967852274576825,1.631968935697287,574.4404401694425,0.18004312868727101,0.054416529519797086,0.932207139292004,100.0,-0.03872200846672058,0.10401756068070729,7.0,3,False,
kmedoids,8,0.25659196575482685,1.5587054437661092,588.481599180364,0.16179560652186117,0.08329650945339345,0.9238906598092242,100.0,-0.025121572117010754,0.10401756068070729,8.0,3,False,
kmedoids,9,0.25257396697998047,1.5513189846724391,547.805908300002,0.17441517641874116,0.08591102400736682,0.9222624467663909,100.0,-0.030099834005037945,0.10401756068070729,9.0,3,False,
kmedoids,10,0.25511473417282104,1.5098281311041486,567.6297457666191,0.15095046920265567,0.08608059066026481,0.9350405269836033,100.0,-0.04392077152927717,0.10401756068070729,10.0,3,False,
densidad,6,0.32610199848810834,1.2182142979440258,469.4555522298594,0.6182565483658892,0.022778574583845964,0.7534290564792533,77.12222222222222,-0.029078286762038868,0.10401756068070729,7.333333333333333,3,True,P1: cobertura 78.0 % < 85.0 % | P2: cobertura 75.6 % < 85.0 % | P3: cobertura 77.8 % < 85.0 %
densidad,7,0.32610199848810834,1.2182142979440258,469.4555522298594,0.6182565483658892,0.022778574583845964,0.7534290564792533,77.12222222222222,-0.029078286762038868,0.10401756068070729,7.333333333333333,3,True,P1: cobertura 78.0 % < 85.0 % | P2: cobertura 75.6 % < 85.0 % | P3: cobertura 77.8 % < 85.0 %
densidad,9,0.32610199848810834,1.2182142979440258,469.4555522298594,0.6182565483658892,0.022778574583845964,0.7534290564792533,77.12222222222222,-0.029078286762038868,0.10401756068070729,7.333333333333333,3,True,P1: cobertura 78.0 % < 85.0 % | P2: cobertura 75.6 % < 85.0 % | P3: cobertura 77.8 % < 85.0 %
gmm,3,0.20096462965011597,2.551048341609682,644.948798717102,0.2955513005147079,0.017152805434077326,0.7558911743190228,100.0,-0.003998941276222467,0.10401756068070729,3.0,3,False,
gmm,4,0.189985861380895,2.6809508373047457,460.6841312540958,0.24402074953922934,0.020721059140137523,0.7084816971613881,100.0,-0.01835671905428171,0.10401756068070729,4.0,3,False,
gmm,5,0.1951845039923986,2.5456724284443784,400.3941138880348,0.4136946427330009,0.022258037531413883,0.8295389936698537,100.0,-0.026925470679998398,0.10401756068070729,5.0,3,False,
gmm,6,0.17971684535344443,2.5203665889599205,372.23759886984595,0.39237561601525234,0.022443411834428054,0.788886224405316,100.0,-0.02240292790035407,0.10401756068070729,6.0,3,True,P1: no supera la línea base modalidad (0.1262 <= 0.1325)
gmm,7,0.21649024387200674,2.230968473115985,401.85935196023274,0.4609413015845334,0.019225443662944198,0.7829667536756063,100.0,-0.03872200846672058,0.10401756068070729,7.0,3,False,
gmm,8,0.19508295754591623,2.005082771791964,404.9529919713689,0.461210420403088,0.020395745616382455,0.7632794071234019,100.0,-0.025121572117010754,0.10401756068070729,8.0,3,False,
gmm,9,0.23408938447634378,1.9702226803464082,402.60073224388026,0.46829768825608964,0.025961151868358304,0.764245816072712,100.0,-0.030099834005037945,0.10401756068070729,9.0,3,False,
gmm,10,0.2310190498828888,1.8472737489303874,398.48584141715884,0.511945109030131,0.0274194716914118,0.7567891631088836,100.0,-0.04392077152927717,0.10401756068070729,10.0,3,False,
