proveedor,algoritmo,k_o_grupos,silueta_gower,davies_bouldin,calinski_harabasz,n_grupos,pct_ruido,ari_vs_modalidad,segundos,notas
P1,Gaussian Mixture,10,0.22874923050403595,1.776961947036488,243.81010304211884,10,0.0,0.4574336951363861,0.11,"BIC=-319,448"
P2,K-Prototypes,3,0.2147073596715927,1.2380133010643388,708.5311082374508,3,0.0,0.04021775107172816,12.58,gamma=0.5000
P2,K-Prototypes,4,0.13213029503822327,1.3840168768892176,620.0462183660027,4,0.0,0.019269245380526365,18.32,gamma=0.5000
P2,K-Prototypes,5,0.08257590979337692,1.281812519905957,605.7214540668888,5,0.0,0.015936654795740798,21.21,gamma=0.5000
P2,K-Prototypes,6,0.08937522023916245,1.0307597194031424,843.9623809763256,6,0.0,0.012277797204725698,23.56,gamma=0.5000
P2,K-Prototypes,7,0.1075640469789505,1.022365989773814,841.0194162731433,7,0.0,0.019257744878886866,17.66,gamma=0.5000
P2,K-Prototypes,8,0.10921288281679153,1.1183623275793482,798.3576555740176,8,0.0,0.03164900029422602,20.2,gamma=0.5000
P2,K-Prototypes,9,0.12054522335529327,1.0383045033176712,797.173398503009,9,0.0,0.023182143953950945,16.39,gamma=0.5000
P2,K-Prototypes,10,0.09788326174020767,1.0332297016136647,792.5972857114676,10,0.0,0.024061424914093424,23.8,gamma=0.5000
P2,K-Means,3,0.2412784844636917,0.9836097739592434,880.3769610137847,3,0.0,0.0572780257811495,0.03,
P2,K-Means,4,0.13052797317504883,1.2389607525552604,763.8220156450494,4,0.0,0.027717329794156132,0.07,
P2,K-Means,5,0.14122655987739563,1.165977605654693,795.2162596613158,5,0.0,0.04267571628349199,0.05,
P2,K-Means,6,0.12762872874736786,0.9097539248163375,831.9612646088883,6,0.0,0.02105435558018234,0.05,
P2,K-Means,7,0.1202041357755661,0.9950298309012328,849.4323903932521,7,0.0,0.029911615274495644,0.04,
P2,K-Means,8,0.09803866595029831,0.8894688228629452,879.8597297321015,8,0.0,0.024099474522479965,0.06,
P2,K-Means,9,0.0979803130030632,0.8591275710928189,868.2639806946934,9,0.0,0.0304269109287171,0.05,
P2,K-Means,10,0.11137092113494873,1.0026520140478872,833.5579593123066,10,0.0,0.07003484728076985,0.11,
P2,Jerárquico (average),3,0.34756574034690857,1.1206419597591306,369.48434951952623,3,0.0,0.05330011415472928,0.35,
P2,Jerárquico (average),4,0.3653150200843811,1.289105847988915,371.6902461731494,4,0.0,0.30832386187529537,0.25,
P2,Jerárquico (average),5,0.3856305480003357,1.814205838873417,292.55668373909526,5,0.0,0.3968148480250166,0.23,
P2,Jerárquico (average),6,0.41321271657943726,1.9816741911755695,245.53318609289047,6,0.0,0.40713170071438914,0.27,
P2,Jerárquico (average),7,0.4119786024093628,1.6820105643420082,269.6874333687337,7,0.0,0.4070394815384154,0.23,
P2,Jerárquico (average),8,0.4295092821121216,1.79250161285078,236.16638351001257,8,0.0,0.454750751277757,0.27,
P2,Jerárquico (average),9,0.597747802734375,1.838460055823528,243.9993387554703,9,0.0,0.9345956708389773,0.2,
P2,Jerárquico (average),10,0.6601195335388184,1.7632584992364877,234.90833518238603,10,0.0,0.9850177868051985,0.29,
P2,K-Medoids (PAM),3,0.45452937483787537,2.19619923391685,267.33913269144114,3,0.0,0.7251658728553685,0.14,FasterPAM
P2,K-Medoids (PAM),4,0.5354124307632446,2.0352942031530126,224.83504435776058,4,0.0,0.8944102171384303,0.09,FasterPAM
P2,K-Medoids (PAM),5,0.574133038520813,2.3508892823581875,162.55951929276154,5,0.0,0.9337354675695925,0.1,FasterPAM
P2,K-Medoids (PAM),6,0.41585609316825867,2.2936280702094014,207.15768507518777,6,0.0,0.5675815083462797,0.1,FasterPAM
P2,K-Medoids (PAM),7,0.45761942863464355,2.401426276019611,168.66624860864263,7,0.0,0.6015442386868208,0.1,FasterPAM
P2,K-Medoids (PAM),8,0.3994196653366089,2.2836390292110864,172.20003139773883,8,0.0,0.4376707978217126,0.12,FasterPAM
P2,K-Medoids (PAM),9,0.4300636351108551,2.1631208617561715,155.04054827006098,9,0.0,0.44931244523627145,0.12,FasterPAM
P2,K-Medoids (PAM),10,0.45118972659111023,2.1780113419989116,136.786872571268,10,0.0,0.45999336652282374,0.11,FasterPAM
P2,DBSCAN/HDBSCAN,9,0.6872462034225464,2.0799985833811094,124.6163840022316,9,0.4666666666666667,1.0,0.0,HDBSCAN(paquete hdbscan) mcs=30
P2,Gaussian Mixture,3,0.3408997058868408,1.5647809255802307,221.7256148019943,3,0.0,0.30218603926384807,0.03,"BIC=-196,220"
P2,Gaussian Mixture,4,0.3171250820159912,2.1886273977216346,192.20766955003592,4,0.0,0.4212271482604912,0.05,"BIC=-272,755"
P2,Gaussian Mixture,5,0.22724458575248718,1.7115536448002164,381.1607658527832,5,0.0,0.36859054247170736,0.07,"BIC=-272,619"
P2,Gaussian Mixture,6,0.4068520963191986,1.8276346697935748,329.98431257504,6,0.0,0.6045449917420622,0.05,"BIC=-302,647"
P2,Gaussian Mixture,7,0.40751928091049194,1.6484822362379676,320.2316802246396,7,0.0,0.6107872427884259,0.05,"BIC=-308,000"
P2,Gaussian Mixture,8,0.32235637307167053,1.9368728346665005,271.1443619185858,8,0.0,0.6149183591500202,0.14,"BIC=-312,935"
P2,Gaussian Mixture,9,0.6068721413612366,1.9144625034735716,274.9764942783034,9,0.0,0.9407096848266333,0.14,"BIC=-339,713"
P2,Gaussian Mixture,10,0.2617773711681366,2.350103494805149,249.5958588060953,10,0.0,0.6089222747312111,0.3,"BIC=-353,098"
P3,K-Prototypes,3,0.21692310273647308,1.182477403567787,791.6968201791292,3,0.0,0.04601479517944074,18.27,gamma=0.5000
P3,K-Prototypes,4,0.12956640124320984,1.4591203809311228,692.2073172344868,4,0.0,0.0377153544823365,17.86,gamma=0.5000
P3,K-Prototypes,5,0.07408338785171509,1.3219041975304286,675.8137779463118,5,0.0,0.01608166420593818,19.55,gamma=0.5000
P3,K-Prototypes,6,0.07864244282245636,1.2652367918419813,650.9623326909857,6,0.0,0.012840274601576178,27.32,gamma=0.5000
P3,K-Prototypes,7,0.08471871167421341,1.2309317201761363,634.185079030487,7,0.0,0.017571560725499487,27.83,gamma=0.5000
P3,K-Prototypes,8,0.09988100081682205,1.134525425375733,613.3119665979714,8,0.0,0.024267271796257185,24.93,gamma=0.5000
P3,K-Prototypes,9,0.08207184076309204,1.181156552797904,617.5023618345967,9,0.0,0.021458782100058596,23.41,gamma=0.5000
P3,K-Prototypes,10,0.0680995061993599,1.1975675816742188,596.4296038557027,10,0.0,0.020377307168647815,22.35,gamma=0.5000
P3,K-Means,3,0.22021667659282684,1.1807450095128238,792.1022350467991,3,0.0,0.05247467622326099,0.03,
P3,K-Means,4,0.1356242299079895,1.457835744247505,693.284798041198,4,0.0,0.05081396853120432,0.05,
P3,K-Means,5,0.09746669232845306,1.3252210994082343,675.5038991868126,5,0.0,0.04313563501309082,0.06,
P3,K-Means,6,0.09999212622642517,1.2262466586670622,656.5993347140095,6,0.0,0.033269051984872955,0.06,
P3,K-Means,7,0.08753643929958344,1.1253922500615725,650.3678841503905,7,0.0,0.03774163675457737,0.08,
P3,K-Means,8,0.08155129849910736,1.0676972324691907,655.4051299425901,8,0.0,0.024477757687751296,0.07,
P3,K-Means,9,0.07966180145740509,1.027283862825319,642.0404178198041,9,0.0,0.03220980153889312,0.04,
P3,K-Means,10,0.07566226273775101,1.1105608328825618,632.7849646170787,10,0.0,0.0413560119049822,0.06,
P3,Jerárquico (average),3,0.3915989100933075,0.526778007134122,278.8828318041316,3,0.0,-0.007745770053130661,0.29,
P3,Jerárquico (average),4,0.33870670199394226,0.5667532202629647,189.4672773898633,4,0.0,-0.007720413776601219,0.22,
P3,Jerárquico (average),5,0.28304171562194824,1.0544736930609209,165.26900298823537,5,0.0,0.04709857534768571,0.31,
P3,Jerárquico (average),6,0.32497063279151917,1.219722417002955,204.40118196084418,6,0.0,0.298046777749993,0.17,
P3,Jerárquico (average),7,0.3491992652416229,1.5363162710645872,179.48263065175124,7,0.0,0.3075064052024589,0.32,
P3,Jerárquico (average),8,0.3752479553222656,1.8638063288798676,161.87855944812236,8,0.0,0.39604650481401954,0.23,
P3,Jerárquico (average),9,0.37383130192756653,1.6460810037679523,188.2267652599253,9,0.0,0.395953379255749,0.19,
P3,Jerárquico (average),10,0.3897300064563751,1.7467777086063658,171.5060054006484,10,0.0,0.4433274280706593,0.24,
P3,K-Medoids (PAM),3,0.3894503712654114,2.5606959968907645,242.52154976770518,3,0.0,0.6501404374286786,0.11,FasterPAM
P3,K-Medoids (PAM),4,0.48242875933647156,2.286276163046793,229.1581491759795,4,0.0,0.888688039124847,0.1,FasterPAM
P3,K-Medoids (PAM),5,0.3169531226158142,2.210242169917919,270.2399525955437,5,0.0,0.4739583836914568,0.13,FasterPAM
P3,K-Medoids (PAM),6,0.35201042890548706,2.5461092278316495,208.04454192675246,6,0.0,0.5185136559866423,0.11,FasterPAM
P3,K-Medoids (PAM),7,0.3956937789916992,2.690860271709963,175.36262194704008,7,0.0,0.6006934778745444,0.12,FasterPAM
P3,K-Medoids (PAM),8,0.4121667146682739,2.4655634106522326,154.51302573122925,8,0.0,0.5932489045706241,0.11,FasterPAM
P3,K-Medoids (PAM),9,0.3752260208129883,2.407203085341631,156.5550623040902,9,0.0,0.45398944439684763,0.09,FasterPAM
P3,K-Medoids (PAM),10,0.39630022644996643,2.445862129265386,139.553099516764,10,0.0,0.46584678222742143,0.12,FasterPAM
P3,DBSCAN/HDBSCAN,9,0.629968523979187,2.2687081430159424,124.23376206202042,9,1.5666666666666667,1.0,0.0,HDBSCAN(paquete hdbscan) mcs=30
P3,Gaussian Mixture,3,0.29296231269836426,2.866676006066216,224.86806679303035,3,0.0,0.5064694515949938,0.04,"BIC=-237,701"
P3,Gaussian Mixture,4,0.29369938373565674,2.103229329489967,367.3277362160286,4,0.0,0.5283005272031862,0.05,"BIC=-256,566"
P3,Gaussian Mixture,5,0.46369001269340515,2.423028332344091,308.7116162097935,5,0.0,0.8470442286290747,0.08,"BIC=-311,578"
P3,Gaussian Mixture,6,0.46931877732276917,2.1672890469794615,262.2507437975345,6,0.0,0.8262458585880558,0.09,"BIC=-314,366"
P3,Gaussian Mixture,7,0.1474418193101883,2.708921335122224,190.2919207221305,7,0.0,0.44449466573873764,0.1,"BIC=-311,370"
