algoritmo,k,silueta_promedio,db,ch,ari_mod,ari_cuartil,entropia,cobertura,base_aleatoria,base_modalidad,n_grupos,n_proveedores,descalificado,motivos
kmeans,6,0.2971746176481247,1.1470625710654334,988.071414548694,0.24094904910255824,0.20447795020432338,0.898587314015742,100.0,-0.02251528576016426,0.32424229880174,6.0,3,True,P2: no supera la línea base modalidad (0.3332 <= 0.3854) | P3: no supera la línea base modalidad (0.3102 <= 0.3460)
kmeans,7,0.2910426507393519,1.154157868546659,954.8991585643953,0.21013766603688078,0.21203126391122618,0.92430945643989,100.0,-0.025968915472428005,0.32424229880174,7.0,3,True,P1: no supera la línea base modalidad (0.2304 <= 0.2414) | P2: no supera la línea base modalidad (0.3081 <= 0.3854) | P3: no supera la línea base modalidad (0.3346 <= 0.3460)
kmeans,8,0.27588321765263873,1.1759859758112254,932.8433377888149,0.17749657311430747,0.20891238202663956,0.9499721418289675,100.0,-0.028943697611490887,0.32424229880174,8.0,3,True,P1: no supera la línea base modalidad (0.2297 <= 0.2414) | P2: no supera la línea base modalidad (0.2868 <= 0.3854) | P3: no supera la línea base modalidad (0.3111 <= 0.3460)
kmeans,9,0.2717949102322261,1.1704212979836592,913.991456028993,0.17331612833482615,0.21060711206152538,0.9200488301719713,100.0,-0.031122867638866108,0.32424229880174,9.0,3,True,P1: no supera la línea base modalidad (0.2305 <= 0.2414) | P2: no supera la línea base modalidad (0.2819 <= 0.3854) | P3: no supera la línea base modalidad (0.3029 <= 0.3460)
kmeans,10,0.26486162344614667,1.1920568680668833,885.1995109294976,0.176827233803777,0.207938743543037,0.9272352092602455,100.0,-0.042104446639617286,0.32424229880174,10.0,3,True,P1: no supera la línea base modalidad (0.2234 <= 0.2414) | P2: no supera la línea base modalidad (0.2714 <= 0.3854) | P3: no supera la línea base modalidad (0.2997 <= 0.3460)
jerarquico,3,0.4153403441111247,1.0701287968095752,335.1406149740438,-0.04383531168967644,7.44417715664693e-05,0.16125457678197674,100.0,-0.00487482671936353,0.32424229880174,3.0,3,True,P1: entropía de tamaños 0.008 < 0.5 | P2: no supera la línea base modalidad (0.3671 <= 0.3854); entropía de tamaños 0.231 < 0.5 | P3: entropía de tamaños 0.245 < 0.5
jerarquico,4,0.4741913576920827,1.0446472071901132,429.5023458849487,0.2085996613921379,0.007415494219787382,0.34115630541851005,100.0,-0.012612084858119488,0.32424229880174,4.0,3,True,P1: entropía de tamaños 0.180 < 0.5 | P3: entropía de tamaños 0.196 < 0.5
jerarquico,5,0.5031895736853281,1.00161205544,424.31204482060025,0.4130863865602869,0.010425221278367166,0.42955489688419446,100.0,-0.017195449210703373,0.32424229880174,5.0,3,True,P1: entropía de tamaños 0.155 < 0.5
jerarquico,6,0.45197810729344684,1.0316482408218595,404.5140105033241,0.39404868762679834,0.019469189692547777,0.44959568271563616,100.0,-0.02251528576016426,0.32424229880174,6.0,3,True,P1: entropía de tamaños 0.252 < 0.5
jerarquico,7,0.4103442033131917,0.9671813353903929,349.0536020228765,0.412301433089942,0.01939278060754462,0.4345866427191343,100.0,-0.025968915472428005,0.32424229880174,7.0,3,True,P1: entropía de tamaños 0.293 < 0.5 | P2: entropía de tamaños 0.470 < 0.5
jerarquico,8,0.36999831597010296,0.9839079326866808,328.40444017805095,0.4108573151763957,0.01861836925155521,0.4365006510766749,100.0,-0.028943697611490887,0.32424229880174,8.0,3,True,P1: entropía de tamaños 0.339 < 0.5 | P2: entropía de tamaños 0.451 < 0.5
jerarquico,9,0.3430017779270808,0.981366490004237,324.90066683585786,0.4458953531407175,0.027766515975063476,0.4485592800748293,100.0,-0.031122867638866108,0.32424229880174,9.0,3,True,P1: entropía de tamaños 0.325 < 0.5 | P3: entropía de tamaños 0.493 < 0.5
jerarquico,10,0.323390856385231,0.9963716009674073,335.27847097101125,0.4914314183816697,0.040504383623024685,0.47233120213853086,100.0,-0.042104446639617286,0.32424229880174,10.0,3,True,P1: no supera la línea base modalidad (0.1918 <= 0.2414); entropía de tamaños 0.322 < 0.5 | P2: no supera la línea base modalidad (0.3690 <= 0.3854)
